,batch_size,num_layers,dropout,bidirectional,rmse,mse
0,183,2,0.0,False,950.9529384068965,904311.4910647105
1,183,2,0.0,True,1704.8660149350637,2906568.1288805646
2,183,3,0.0,False,1370.33241367718,1877810.9239743263
3,183,3,0.0,True,900.858296438422,811545.6702619359
4,183,4,0.0,False,726.0731965051415,527182.2866831938
5,183,4,0.0,True,893.2427999777968,797882.6997121744
6,549,2,0.0,False,1717.5502144090801,2949978.7390166773
7,549,2,0.0,True,1942.9615907503687,3775099.7431312036
8,549,3,0.0,False,1604.0568520877212,2572998.3847295693
9,549,3,0.0,True,1602.4250424478644,2567766.01666404
10,549,4,0.0,False,894.2307388620254,799648.614325724
11,549,4,0.0,True,1217.646474554133,1482662.9369941086
